#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SMAD3	JUNB	9606.ENSP00000332973	9606.ENSP00000303315	0	0	0	0	0	0.294	0.500	0	0.632
SMAD3	ATF3	9606.ENSP00000332973	9606.ENSP00000344352	0	0	0	0	0	0.510	0	0	0.510
SNAI2	EGR1	9606.ENSP00000020945	9606.ENSP00000239938	0	0	0	0.627	0	0.069	0.500	0	0.514
SNAI2	PPARG	9606.ENSP00000020945	9606.ENSP00000287820	0	0	0	0	0	0.045	0.500	0	0.502
SNAI2	TP53	9606.ENSP00000020945	9606.ENSP00000269305	0	0	0	0	0	0.292	0.500	0	0.630
SP3	TP53	9606.ENSP00000310301	9606.ENSP00000269305	0	0	0	0	0	0.512	0	0	0.512
STAT1	EGR1	9606.ENSP00000354394	9606.ENSP00000239938	0	0	0	0	0	0.058	0.500	0	0.508
STAT1	IRF1	9606.ENSP00000354394	9606.ENSP00000245414	0	0	0	0	0	0.805	0.500	0	0.898
STAT1	STAT3	9606.ENSP00000354394	9606.ENSP00000264657	0	0	0	0.947	0	0.874	0.900	0	0.986
STAT1	STAT6	9606.ENSP00000354394	9606.ENSP00000300134	0	0	0	0.625	0	0	0.650	0	0.650
STAT1	STAT2	9606.ENSP00000354394	9606.ENSP00000315768	0	0	0	0.884	0	0.886	0.900	0	0.988
STAT2	EGR1	9606.ENSP00000315768	9606.ENSP00000239938	0	0	0	0	0	0.058	0.500	0	0.508
STAT2	IRF1	9606.ENSP00000315768	9606.ENSP00000245414	0	0	0	0	0	0	0.500	0	0.499
STAT2	STAT3	9606.ENSP00000315768	9606.ENSP00000264657	0	0	0	0.862	0	0.301	0.650	0	0.745
STAT2	STAT6	9606.ENSP00000315768	9606.ENSP00000300134	0	0	0	0.601	0	0.292	0.900	0	0.926
STAT2	STAT1	9606.ENSP00000315768	9606.ENSP00000354394	0	0	0	0.884	0	0.886	0.900	0	0.988
STAT3	NFKB1	9606.ENSP00000264657	9606.ENSP00000226574	0	0	0	0	0	0.598	0	0	0.598
STAT3	ATF3	9606.ENSP00000264657	9606.ENSP00000344352	0	0	0	0	0	0.425	0	0	0.425
STAT3	JUNB	9606.ENSP00000264657	9606.ENSP00000303315	0	0	0	0	0	0.087	0.500	0	0.523
STAT3	STAT6	9606.ENSP00000264657	9606.ENSP00000300134	0	0	0	0.631	0	0.101	0.700	0	0.718
STAT3	STAT2	9606.ENSP00000264657	9606.ENSP00000315768	0	0	0	0.862	0	0.301	0.650	0	0.745
STAT3	TP53	9606.ENSP00000264657	9606.ENSP00000269305	0	0	0	0	0	0.164	0.800	0	0.825
STAT3	STAT1	9606.ENSP00000264657	9606.ENSP00000354394	0	0	0	0.947	0	0.874	0.900	0	0.986
STAT6	IRF1	9606.ENSP00000300134	9606.ENSP00000245414	0	0	0	0	0	0.422	0	0	0.422
STAT6	STAT3	9606.ENSP00000300134	9606.ENSP00000264657	0	0	0	0.631	0	0.101	0.700	0	0.718
STAT6	TP53	9606.ENSP00000300134	9606.ENSP00000269305	0	0	0	0	0	0.230	0.500	0	0.598
STAT6	JUNB	9606.ENSP00000300134	9606.ENSP00000303315	0	0	0	0	0	0.087	0.500	0	0.523
STAT6	STAT1	9606.ENSP00000300134	9606.ENSP00000354394	0	0	0	0.625	0	0	0.650	0	0.650
STAT6	STAT2	9606.ENSP00000300134	9606.ENSP00000315768	0	0	0	0.601	0	0.292	0.900	0	0.926
TP53	SNAI2	9606.ENSP00000269305	9606.ENSP00000020945	0	0	0	0	0	0.292	0.500	0	0.630
TP53	EGR1	9606.ENSP00000269305	9606.ENSP00000239938	0	0	0	0	0	0.759	0.500	0	0.874
TP53	STAT3	9606.ENSP00000269305	9606.ENSP00000264657	0	0	0	0	0	0.164	0.800	0	0.825
TP53	SP3	9606.ENSP00000269305	9606.ENSP00000310301	0	0	0	0	0	0.512	0	0	0.512
TP53	STAT6	9606.ENSP00000269305	9606.ENSP00000300134	0	0	0	0	0	0.230	0.500	0	0.598
TP53	PPARG	9606.ENSP00000269305	9606.ENSP00000287820	0	0	0	0	0	0.305	0.500	0	0.637
TP53	SMAD3	9606.ENSP00000269305	9606.ENSP00000332973	0	0	0	0	0	0.469	0	0	0.469
TP53	ETS1	9606.ENSP00000269305	9606.ENSP00000376436	0	0	0	0	0	0.625	0	0	0.625
TP53	ATF3	9606.ENSP00000269305	9606.ENSP00000344352	0	0	0	0	0	0.743	0	0	0.743
