GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
MARVELD2-2,4627,0.04,0,0,0.2,0.25,0,-3.699692524,0.017669751,0.017669751,MARVELD2,NP_001231663.1;NP_001033692.2,MARVEL domain-containing protein 2 isoform 2 [Homo sapiens];MARVEL domain-containing protein 2 isoform 1 [Homo sapiens],GO:0061689;GO:0016324;GO:0016021;GO:0030054;GO:0070830;GO:0031410;GO:0007605;GO:0061028;GO:0005737;GO:0005923;GO:0033010;GO:0005886;GO:0045216;GO:0016323;GO:0043220,tricellular tight junction;apical plasma membrane;integral component of membrane;cell junction;bicellular tight junction assembly;cytoplasmic vesicle;sensory perception of sound;establishment of endothelial barrier;cytoplasm;bicellular tight junction;paranodal junction;plasma membrane;cell-cell junction organization;basolateral plasma membrane;Schmidt-Lanterman incisure,K17291,MARVELD2,http://www.genome.jp/dbget-bin/www_bget?ko:K17291,Tight junction,ko04530,-,-,sp|Q8N4S9|MALD2_HUMAN,MARVEL domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MARVELD2 PE=1 SV=2
CAVIN4,3052,0.5,0.94,0.47,1.33,1.22,1.4,-1.006578194,0.006428756,0.006428756,CAVIN4,NP_001018126.1;AAH90888.1,caveolae-associated protein 4 [Homo sapiens];MURC protein [Homo sapiens],GO:0005737;GO:0010468;GO:0030154;GO:0030018;GO:0005886;GO:0045944;GO:0035023;GO:0007517;GO:0042383;GO:0005829;GO:0005901,cytoplasm;regulation of gene expression;cell differentiation;Z disc;plasma membrane;positive regulation of transcription by RNA polymerase II;regulation of Rho protein signal transduction;muscle organ development;sarcolemma;cytosol;caveola,-,-,-,-,-,-,-,sp|Q5BKX8|CAVN4_HUMAN,Caveolae-associated protein 4 OS=Homo sapiens OX=9606 GN=CAVIN4 PE=1 SV=2
LIN9,3086,1.32,1.23,0.67,2.56,2.12,2.1,-1.282191803,6.09E-06,6.09E-06,LIN9,XP_024302333.1;XP_003814973.3;XP_031992915.1;PNJ39328.1;NP_001353174.1;XP_031992913.1;XP_016856573.1;NP_775106.2;XP_011542475.1;XP_003814975.2;XP_031992914.1,"protein lin-9 homolog isoform X2 [Homo sapiens];protein lin-9 homolog isoform X1 [Pan paniscus];protein lin-9 homolog isoform X3 [Hylobates moloch];LIN9 isoform 1, partial [Pongo abelii];protein lin-9 homolog isoform 8 [Homo sapiens];protein lin-9 homolog isoform X1 [Hylobates moloch];protein lin-9 homolog isoform X3 [Homo sapiens];protein lin-9 homolog isoform 1 [Homo sapiens];protein lin-9 homolog isoform X5 [Homo sapiens];protein lin-9 homolog isoform X3 [Pan paniscus];protein lin-9 homolog isoform X2 [Hylobates moloch]",GO:0006357;GO:0000003;GO:0005634;GO:0071897;GO:0007049;GO:0006351;GO:0003677;GO:0017053;GO:0005654;GO:0051726,"regulation of transcription by RNA polymerase II;reproduction;nucleus;DNA biosynthetic process;cell cycle;transcription, DNA-templated;DNA binding;transcription repressor complex;nucleoplasm;regulation of cell cycle",K21773,LIN9,http://www.genome.jp/dbget-bin/www_bget?ko:K21773,Cellular senescence,ko04218,-,-,sp|Q5TKA1|LIN9_HUMAN,Protein lin-9 homolog OS=Homo sapiens OX=9606 GN=LIN9 PE=1 SV=1
CPZ,2163,1.51,2.33,2.09,0.53,0.61,0.4,2.00446201,3.89E-07,3.89E-07,CPZ,NP_003643.3;NP_001014447.2,carboxypeptidase Z isoform 2 precursor [Homo sapiens];carboxypeptidase Z isoform 1 precursor [Homo sapiens],GO:0006518;GO:0016055;GO:0008270;GO:0016485;GO:0004181;GO:0006508;GO:0005615,peptide metabolic process;Wnt signaling pathway;zinc ion binding;protein processing;metallocarboxypeptidase activity;proteolysis;extracellular space,K13022,CPZ,http://www.genome.jp/dbget-bin/www_bget?ko:K13022,-,-,KOG2649,Zinc carboxypeptidase,sp|Q66K79|CBPZ_HUMAN,Carboxypeptidase Z OS=Homo sapiens OX=9606 GN=CPZ PE=1 SV=2
LOC124902444,1000,0,0,0,0.12,0.55,0.4,-4.81530346,0.015947302,0.015947302,LOC124902444,-,-,-,-,-,-,-,-,-,-,-,-,-
ADM2,4286,2.44,2.99,2.31,1.17,1.05,1.06,1.30996658,1.44E-09,1.44E-09,ADM2,EAW73541.1,"hCG1653624, isoform CRA_a [Homo sapiens]",GO:0007586;GO:0002862;GO:0005179;GO:0005576;GO:0010628;GO:0045766;GO:0044877;GO:0006468;GO:0007631;GO:0007189;GO:0001525;GO:0045776;GO:0007186,digestion;negative regulation of inflammatory response to antigenic stimulus;hormone activity;extracellular region;positive regulation of gene expression;positive regulation of angiogenesis;protein-containing complex binding;protein phosphorylation;feeding behavior;adenylate cyclase-activating G protein-coupled receptor signaling pathway;angiogenesis;negative regulation of blood pressure;G protein-coupled receptor signaling pathway,K25343,ADM2,http://www.genome.jp/dbget-bin/www_bget?ko:K25343,Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction,"ko04080,ko04270",-,-,sp|Q7Z4H4|ADM2_HUMAN,Protein ADM2 OS=Homo sapiens OX=9606 GN=ADM2 PE=1 SV=1
RASL12,3459,0.48,0.68,0.63,0.12,0.02,0.01,3.270492431,0.000202322,0.000202322,RASL12,XP_011795786.1;XP_016877785.1;NP_001366358.1;XP_011519962.1;XP_011795787.1,PREDICTED: ras-like protein family member 12 isoform X1 [Colobus angolensis palliatus];ras-like protein family member 12 isoform X2 [Homo sapiens];ras-like protein family member 12 isoform 3 [Homo sapiens];ras-like protein family member 12 isoform X1 [Homo sapiens];PREDICTED: ras-like protein family member 12 isoform X2 [Colobus angolensis palliatus],GO:0003925;GO:0007165;GO:0003924;GO:0016020;GO:0005886;GO:0019003;GO:0005525,G protein activity;signal transduction;GTPase activity;membrane;plasma membrane;GDP binding;GTP binding,K07854,"RASL12,RIS",http://www.genome.jp/dbget-bin/www_bget?ko:K07854,-,-,KOG0395,Ras-related GTPase,sp|Q9NYN1|RASLC_HUMAN,Ras-like protein family member 12 OS=Homo sapiens OX=9606 GN=RASL12 PE=1 SV=1
TEX15,11476,0.03,0.04,0.04,0.17,0.11,0.09,-1.294995769,0.040654838,0.040654838,TEX15,NP_001337091.1,testis-expressed protein 15 [Homo sapiens],GO:0010569;GO:0007129;GO:0007140,regulation of double-strand break repair via homologous recombination;homologous chromosome pairing at meiosis;male meiotic nuclear division,-,-,-,-,-,-,-,sp|Q9BXT5|TEX15_HUMAN;sp|F8VPN2|TEX15_MOUSE,Testis-expressed protein 15 OS=Homo sapiens OX=9606 GN=TEX15 PE=2 SV=2;Testis-expressed protein 15 OS=Mus musculus OX=10090 GN=Tex15 PE=1 SV=1
PLCD4,3039,0.47,0.36,0.49,0.15,0.14,0.2,1.778862513,0.006721376,0.006721376,PLCD4,NP_116115.1;XP_016805998.1;XP_024210849.1;XP_011510314.1;XP_005246970.1;XP_016860605.1;XP_016806000.1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 [Homo sapiens];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X1 [Pan troglodytes];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X4 [Pan troglodytes];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X1 [Homo sapiens];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X3 [Homo sapiens];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X2 [Homo sapiens];1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 isoform X2 [Pan troglodytes]",GO:0004435;GO:0005783;GO:0005886;GO:0005085;GO:0007264;GO:0005509;GO:0048015;GO:0001965;GO:0005634;GO:0035556;GO:0007340;GO:0005829;GO:0046488;GO:0005789;GO:0016042;GO:0043647,phosphatidylinositol phospholipase C activity;endoplasmic reticulum;plasma membrane;guanyl-nucleotide exchange factor activity;small GTPase mediated signal transduction;calcium ion binding;phosphatidylinositol-mediated signaling;G-protein alpha-subunit binding;nucleus;intracellular signal transduction;acrosome reaction;cytosol;phosphatidylinositol metabolic process;endoplasmic reticulum membrane;lipid catabolic process;inositol phosphate metabolic process,K05857,PLCD,http://www.genome.jp/dbget-bin/www_bget?ko:K05857,Calcium signaling pathway;Phosphatidylinositol signaling system;AGE-RAGE signaling pathway in diabetic complications;Shigellosis;Inositol phosphate metabolism;Thyroid hormone signaling pathway,"ko04020,ko04070,ko04933,ko05131,ko00562,ko04919",KOG0169,Phosphoinositide-specific phospholipase C,sp|Q9BRC7|PLCD4_HUMAN;sp|Q4R6L3|PLCD4_MACFA,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Homo sapiens OX=9606 GN=PLCD4 PE=1 SV=1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 OS=Macaca fascicularis OX=9541 GN=PLCD4 PE=2 SV=1"
LDHD,2041,0.15,0.12,0.16,0,0.02,0,4.023281545,0.030001926,0.030001926,LDHD,NP_919417.1;NP_705690.2,"probable D-lactate dehydrogenase, mitochondrial isoform 2 precursor [Homo sapiens];probable D-lactate dehydrogenase, mitochondrial isoform 1 precursor [Homo sapiens]",GO:0050660;GO:0071949;GO:0005739;GO:1903457;GO:0008720;GO:0016491;GO:0004458;GO:0005743,flavin adenine dinucleotide binding;FAD binding;mitochondrion;lactate catabolic process;D-lactate dehydrogenase activity;oxidoreductase activity;D-lactate dehydrogenase (cytochrome) activity;mitochondrial inner membrane,K00102,"LDHD,dld",http://www.genome.jp/dbget-bin/www_bget?ko:K00102,Pyruvate metabolism,ko00620,KOG1231;KOG1232,Proteins containing the FAD binding domain;Proteins containing the FAD binding domain,sp|Q86WU2|LDHD_HUMAN,"Probable D-lactate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=LDHD PE=1 SV=1"
SYNPO2,7659,0.99,0.73,0.86,0.55,0.29,0.47,1.014856658,0.000504596,0.000504596,SYNPO2,NP_001376192.1;NP_001122406.1;NP_001122405.1;NP_001273683.1;NP_597734.2,synaptopodin-2 isoform f [Homo sapiens];synaptopodin-2 isoform c [Homo sapiens];synaptopodin-2 isoform b [Homo sapiens];synaptopodin-2 isoform d [Homo sapiens];synaptopodin-2 isoform a [Homo sapiens],GO:0099023;GO:0003779;GO:0061684;GO:0030674;GO:0015629;GO:0001725;GO:0030335;GO:0005925;GO:0005634;GO:0005829;GO:2000298;GO:0051371;GO:0071889;GO:0051393;GO:0043231;GO:0005654;GO:0000045;GO:0031005;GO:0030018;GO:0032233,vesicle tethering complex;actin binding;chaperone-mediated autophagy;protein-macromolecule adaptor activity;actin cytoskeleton;stress fiber;positive regulation of cell migration;focal adhesion;nucleus;cytosol;regulation of Rho-dependent protein serine/threonine kinase activity;muscle alpha-actinin binding;14-3-3 protein binding;alpha-actinin binding;intracellular membrane-bounded organelle;nucleoplasm;autophagosome assembly;filamin binding;Z disc;positive regulation of actin filament bundle assembly,K24066,SYNPO2,http://www.genome.jp/dbget-bin/www_bget?ko:K24066,-,-,-,-,sp|Q9UMS6|SYNP2_HUMAN;sp|D4A702|SYNP2_RAT,Synaptopodin-2 OS=Homo sapiens OX=9606 GN=SYNPO2 PE=1 SV=2;Synaptopodin-2 OS=Rattus norvegicus OX=10116 GN=Synpo2 PE=1 SV=2
KCNJ2,5391,0.64,0.73,0.71,0.15,0.2,0.24,1.884657659,1.01E-06,1.01E-06,KCNJ2,XP_036263534.1,inward rectifier potassium channel 2 isoform X1 [Pipistrellus kuhlii],GO:0015693;GO:0086008;GO:0005790;GO:0005546;GO:0031224;GO:0042802;GO:0051289;GO:0034765;GO:0005886;GO:0086012;GO:0006813;GO:0043025;GO:0061337;GO:0090076;GO:0086013;GO:0071260;GO:0005794;GO:0005791;GO:0071805;GO:0030007;GO:0043197;GO:0086091;GO:0030315;GO:0055119;GO:1990573;GO:0086004;GO:0014704;GO:1901381;GO:0060075;GO:0060306;GO:0014861;GO:0086011;GO:0005887;GO:0008076;GO:0005242;GO:0086002;GO:0016021,"magnesium ion transport;voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization;smooth endoplasmic reticulum;phosphatidylinositol-4,5-bisphosphate binding;intrinsic component of membrane;identical protein binding;protein homotetramerization;regulation of ion transmembrane transport;plasma membrane;membrane depolarization during cardiac muscle cell action potential;potassium ion transport;neuronal cell body;cardiac conduction;relaxation of skeletal muscle;membrane repolarization during cardiac muscle cell action potential;cellular response to mechanical stimulus;Golgi apparatus;rough endoplasmic reticulum;potassium ion transmembrane transport;cellular potassium ion homeostasis;dendritic spine;regulation of heart rate by cardiac conduction;T-tubule;relaxation of cardiac muscle;potassium ion import across plasma membrane;regulation of cardiac muscle cell contraction;intercalated disc;positive regulation of potassium ion transmembrane transport;regulation of resting membrane potential;regulation of membrane repolarization;regulation of skeletal muscle contraction via regulation of action potential;membrane repolarization during action potential;integral component of plasma membrane;voltage-gated potassium channel complex;inward rectifier potassium channel activity;cardiac muscle cell action potential involved in contraction;integral component of membrane",K04996,"KCNJ2,KIR2.1",http://www.genome.jp/dbget-bin/www_bget?ko:K04996,Gastric acid secretion;Oxytocin signaling pathway;Renin secretion;Cholinergic synapse,"ko04971,ko04921,ko04924,ko04725",-,-,sp|P63252|KCNJ2_HUMAN,Inward rectifier potassium channel 2 OS=Homo sapiens OX=9606 GN=KCNJ2 PE=1 SV=1
LTBP4,4036,20.29,25.73,23.06,10.12,11.22,10.95,1.137943727,2.63E-34,2.63E-34,LTBP4,XP_055225435.1;EAW56984.1;XP_055225433.1;NP_001036010.1,"latent-transforming growth factor beta-binding protein 4 isoform X14 [Gorilla gorilla gorilla];latent transforming growth factor beta binding protein 4, isoform CRA_c, partial [Homo sapiens];latent-transforming growth factor beta-binding protein 4 isoform X12 [Gorilla gorilla gorilla];latent-transforming growth factor beta-binding protein 4 isoform c precursor [Homo sapiens]",GO:0005178;GO:0046879;GO:0006457;GO:0030252;GO:0005539;GO:0050431;GO:0031012;GO:0017015;GO:0005615;GO:0062023;GO:0001527;GO:0048251;GO:0005509;GO:0045595;GO:0005576;GO:0001558;GO:0030162;GO:0007275;GO:0005024;GO:0007179,integrin binding;hormone secretion;protein folding;growth hormone secretion;glycosaminoglycan binding;transforming growth factor beta binding;extracellular matrix;regulation of transforming growth factor beta receptor signaling pathway;extracellular space;collagen-containing extracellular matrix;microfibril;elastic fiber assembly;calcium ion binding;regulation of cell differentiation;extracellular region;regulation of cell growth;regulation of proteolysis;multicellular organism development;transforming growth factor beta-activated receptor activity;transforming growth factor beta receptor signaling pathway,K08023,LTBP2_3_4,http://www.genome.jp/dbget-bin/www_bget?ko:K08023,-,-,-,-,sp|Q8N2S1|LTBP4_HUMAN,Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2
