GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
MED13L,9623,8.82,8.98,9.24,4.44,5.96,5.07,0.726997577,1.09E-13,1.09E-13,*,MED13L,NP_056150.1;NP_056150.1;XP_011536384.1;XP_016874579.1,mediator of RNA polymerase II transcription subunit 13-like [Homo sapiens];mediator of RNA polymerase II transcription subunit 13-like [Homo sapiens] &gt;Q71F56.1 RecName: Full=Mediator of RNA polymerase II transcription subunit 13-like; AltName: Full=Mediator complex subunit 13-like; AltName: Full=Thyroid hormone receptor-associated protein 2; AltName: Full=Thyroid hormone receptor-associated protein complex 240 kDa component-like [Homo sapiens] &gt;AAI30423.1 Mediator complex subunit 13-like [Homo sapiens] &gt;AAQ08182.1 PROSIT240 [Homo sapiens] &gt;AAR08418.1 thyroid hormone receptor-associated protein complex 240 kDa component-like [Homo sapiens] &gt;KAI2568181.1 mediator complex subunit 13L [Homo sapiens] &gt;KAI4068431.1 mediator complex subunit 13L [Homo sapiens];mediator of RNA polymerase II transcription subunit 13-like isoform X3 [Homo sapiens];mediator of RNA polymerase II transcription subunit 13-like isoform X4 [Homo sapiens],GO:0006357;GO:0016592;GO:0003712,regulation of transcription by RNA polymerase II;mediator complex;transcription coregulator activity,K15164,MED13,http://www.genome.jp/dbget-bin/www_bget?ko:K15164,Thyroid hormone signaling pathway,ko04919,KOG3600,"Thyroid hormone receptor-associated protein complex, subunit TRAP240",sp|Q71F56|MD13L_HUMAN,Mediator of RNA polymerase II transcription subunit 13-like OS=Homo sapiens OX=9606 GN=MED13L PE=1 SV=1
MEF2C,6251,1.83,1.97,1.76,1.13,1.13,0.95,0.754116329,3.25E-05,3.25E-05,*,MEF2C,NP_001351281.1;NP_001351274.1;NP_001124477.1;XP_009447162.1;NP_001351272.1;EAW95965.1;PNJ49836.1;EAW95967.1;NP_001351283.1;XP_008565956.1;XP_005557402.1;NP_001351277.1;NP_001351267.1;ERE83452.1,"myocyte-specific enhancer factor 2C isoform 14 [Homo sapiens];myocyte-specific enhancer factor 2C isoform 12 [Homo sapiens];myocyte-specific enhancer factor 2C isoform 2 [Homo sapiens];myocyte-specific enhancer factor 2C isoform X7 [Pan troglodytes];myocyte-specific enhancer factor 2C isoform 10 [Homo sapiens];MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C), isoform CRA_d [Homo sapiens];MEF2C isoform 22 [Pongo abelii];MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C), isoform CRA_f [Homo sapiens];myocyte-specific enhancer factor 2C isoform 16 [Homo sapiens];PREDICTED: myocyte-specific enhancer factor 2C isoform X4 [Galeopterus variegatus];PREDICTED: myocyte-specific enhancer factor 2C isoform X2 [Macaca fascicularis];myocyte-specific enhancer factor 2C isoform 13 [Homo sapiens];myocyte-specific enhancer factor 2C isoform 8 [Homo sapiens];myocyte-specific enhancer factor 2C-like isoform 1 [Cricetulus griseus]",GO:0045652;GO:0010628;GO:0005654;GO:0046982;GO:0003680;GO:0007507;GO:0071277;GO:0006357;GO:0006915;GO:0007399;GO:0043231;GO:0072160;GO:0071222;GO:0043537;GO:0000785;GO:0035984;GO:0072102;GO:0046983;GO:0048643;GO:0005634;GO:0042100;GO:0001228;GO:0006959;GO:0032991;GO:0071374;GO:0000978;GO:0000977;GO:0050853;GO:0061333;GO:0005829;GO:0014902;GO:1904706;GO:0000165;GO:0042826;GO:0000981;GO:0005737;GO:2000727;GO:0000122;GO:2001013;GO:0071498;GO:1905563;GO:0045944;GO:0030154;GO:0030220;GO:0033613;GO:0045663;GO:0030890;GO:0003700;GO:0030182;GO:1904753;GO:0016607;GO:0002467;GO:0001782;GO:0071560;GO:2001016;GO:0003677;GO:0030279,"regulation of megakaryocyte differentiation;positive regulation of gene expression;nucleoplasm;protein heterodimerization activity;minor groove of adenine-thymine-rich DNA binding;heart development;cellular response to calcium ion;regulation of transcription by RNA polymerase II;apoptotic process;nervous system development;intracellular membrane-bounded organelle;nephron tubule epithelial cell differentiation;cellular response to lipopolysaccharide;negative regulation of blood vessel endothelial cell migration;chromatin;cellular response to trichostatin A;glomerulus morphogenesis;protein dimerization activity;positive regulation of skeletal muscle tissue development;nucleus;B cell proliferation;DNA-binding transcription activator activity, RNA polymerase II-specific;humoral immune response;protein-containing complex;cellular response to parathyroid hormone stimulus;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;B cell receptor signaling pathway;renal tubule morphogenesis;cytosol;myotube differentiation;negative regulation of vascular associated smooth muscle cell proliferation;MAPK cascade;histone deacetylase binding;DNA-binding transcription factor activity, RNA polymerase II-specific;cytoplasm;positive regulation of cardiac muscle cell differentiation;negative regulation of transcription by RNA polymerase II;epithelial cell proliferation involved in renal tubule morphogenesis;cellular response to fluid shear stress;negative regulation of vascular endothelial cell proliferation;positive regulation of transcription by RNA polymerase II;cell differentiation;platelet formation;DNA-binding transcription factor binding;positive regulation of myoblast differentiation;positive regulation of B cell proliferation;DNA-binding transcription factor activity;neuron differentiation;negative regulation of vascular associated smooth muscle cell migration;nuclear speck;germinal center formation;B cell homeostasis;cellular response to transforming growth factor beta stimulus;positive regulation of skeletal muscle cell differentiation;DNA binding;negative regulation of ossification",K04454,MEF2C,http://www.genome.jp/dbget-bin/www_bget?ko:K04454,"Apelin signaling pathway;MAPK signaling pathway;cGMP-PKG signaling pathway;Transcriptional misregulation in cancer;Fluid shear stress and atherosclerosis;Oxytocin signaling pathway;Parathyroid hormone synthesis, secretion and action","ko04371,ko04010,ko04022,ko05202,ko05418,ko04921,ko04928",KOG0014,MADS box transcription factor,sp|Q2KIA0|MEF2C_BOVIN;sp|Q06413|MEF2C_HUMAN;sp|A4UTP7|MEF2C_PIG,Myocyte-specific enhancer factor 2C OS=Bos taurus OX=9913 GN=MEF2C PE=2 SV=1;Myocyte-specific enhancer factor 2C OS=Homo sapiens OX=9606 GN=MEF2C PE=1 SV=1;Myocyte-specific enhancer factor 2C OS=Sus scrofa OX=9823 GN=MEF2C PE=2 SV=1
MET,6822,52.61,51.99,51.58,29.16,39.05,30.59,0.595338552,1.27E-13,1.27E-13,*,MET,XP_011514525.1;XP_016812328.1;XP_011514525.1;NP_001311330.1,hepatocyte growth factor receptor isoform X1 [Homo sapiens];hepatocyte growth factor receptor isoform X1 [Pan troglodytes];hepatocyte growth factor receptor isoform X1 [Homo sapiens] &gt;XP_054214230.1 hepatocyte growth factor receptor isoform X1 [Homo sapiens];hepatocyte growth factor receptor isoform c precursor [Homo sapiens],GO:0031116;GO:0004714;GO:0017154;GO:0007399;GO:0004713;GO:0035635;GO:0048754;GO:0005886;GO:0043235;GO:0005887;GO:0005008;GO:0035024;GO:0061436;GO:0001886;GO:0008360;GO:0050772;GO:0005576;GO:0019903;GO:1902287;GO:0007162;GO:0070495;GO:0016477;GO:0030334;GO:0007166;GO:0010507;GO:0071526;GO:0007169;GO:1905098;GO:0051497;GO:0042802;GO:0045944;GO:0009986;GO:0009925;GO:0007165;GO:0031016;GO:0005524;GO:0033674;GO:0030182;GO:0002116;GO:1901299;GO:0051897;GO:2001028;GO:0043087;GO:0000165;GO:0016021;GO:0006909;GO:0007275;GO:0050918;GO:0016020;GO:0001889,positive regulation of microtubule polymerization;transmembrane receptor protein tyrosine kinase activity;semaphorin receptor activity;nervous system development;protein tyrosine kinase activity;entry of bacterium into host cell;branching morphogenesis of an epithelial tube;plasma membrane;receptor complex;integral component of plasma membrane;hepatocyte growth factor-activated receptor activity;negative regulation of Rho protein signal transduction;establishment of skin barrier;endothelial cell morphogenesis;regulation of cell shape;positive regulation of axonogenesis;extracellular region;protein phosphatase binding;semaphorin-plexin signaling pathway involved in axon guidance;negative regulation of cell adhesion;negative regulation of thrombin-activated receptor signaling pathway;cell migration;regulation of cell migration;cell surface receptor signaling pathway;negative regulation of autophagy;semaphorin-plexin signaling pathway;transmembrane receptor protein tyrosine kinase signaling pathway;negative regulation of guanyl-nucleotide exchange factor activity;negative regulation of stress fiber assembly;identical protein binding;positive regulation of transcription by RNA polymerase II;cell surface;basal plasma membrane;signal transduction;pancreas development;ATP binding;positive regulation of kinase activity;neuron differentiation;semaphorin receptor complex;negative regulation of hydrogen peroxide-mediated programmed cell death;positive regulation of protein kinase B signaling;positive regulation of endothelial cell chemotaxis;regulation of GTPase activity;MAPK cascade;integral component of membrane;phagocytosis;multicellular organism development;positive chemotaxis;membrane;liver development,K05099,"MET,HGFR",http://www.genome.jp/dbget-bin/www_bget?ko:K05099,Adherens junction;Focal adhesion;Calcium signaling pathway;MAPK signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;Central carbon metabolism in cancer;Chemical carcinogenesis - reactive oxygen species;MicroRNAs in cancer;Pathways in cancer;Proteoglycans in cancer;Transcriptional misregulation in cancer;Gastric cancer;Hepatocellular carcinoma;Melanoma;Non-small cell lung cancer;Renal cell carcinoma;EGFR tyrosine kinase inhibitor resistance;Bacterial invasion of epithelial cells;Epithelial cell signaling in Helicobacter pylori infection;Malaria;Axon guidance;Axon regeneration,"ko04520,ko04510,ko04020,ko04010,ko04151,ko04015,ko04014,ko05230,ko05208,ko05206,ko05200,ko05205,ko05202,ko05226,ko05225,ko05218,ko05223,ko05211,ko01521,ko05100,ko05120,ko05144,ko04360,ko04361",KOG3610,Plexins (functional semaphorin receptors),sp|P08581|MET_HUMAN,Hepatocyte growth factor receptor OS=Homo sapiens OX=9606 GN=MET PE=1 SV=4
MINDY2,9248,1.77,1.94,2.03,0.95,1.56,0.93,0.685666918,0.001289014,0.001289014,*,MINDY2,EHH63113.1;XP_011519989.1;XP_011519990.1;XP_016877824.1;XP_016877821.1;XP_011519991.1;XP_016877822.1,Protein FAM63B [Macaca fascicularis];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X1 [Homo sapiens];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X2 [Homo sapiens];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X9 [Homo sapiens];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X6 [Homo sapiens];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X3 [Homo sapiens];ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X7 [Homo sapiens],GO:0016807;GO:0005829;GO:0004843;GO:0071795;GO:0070530;GO:0036435;GO:0071944;GO:1990380;GO:0071796;GO:0005654;GO:0071108,cysteine-type carboxypeptidase activity;cytosol;thiol-dependent deubiquitinase;K11-linked polyubiquitin modification-dependent protein binding;K63-linked polyubiquitin modification-dependent protein binding;K48-linked polyubiquitin modification-dependent protein binding;cell periphery;Lys48-specific deubiquitinase activity;K6-linked polyubiquitin modification-dependent protein binding;nucleoplasm;protein K48-linked deubiquitination,K01309,MINDY1_2,http://www.genome.jp/dbget-bin/www_bget?ko:K01309,-,-,KOG2427,Uncharacterized conserved protein,sp|Q8NBR6|MINY2_HUMAN,Ubiquitin carboxyl-terminal hydrolase MINDY-2 OS=Homo sapiens OX=9606 GN=MINDY2 PE=1 SV=2
MKI67,11877,57.36,57.45,57.94,32.37,40.25,36.89,0.602853159,2.55E-20,2.55E-20,*,MKI67,NP_002408.3;XP_006717927.2;NP_001139438.1,proliferation marker protein Ki-67 isoform 1 [Homo sapiens];proliferation marker protein Ki-67 isoform X2 [Homo sapiens];proliferation marker protein Ki-67 isoform 2 [Homo sapiens],GO:0007088;GO:0003723;GO:0003677;GO:0005524;GO:0007049;GO:0016604;GO:0016020;GO:0051983;GO:0008022;GO:0005730;GO:1902275;GO:0005634;GO:0005654;GO:0005694;GO:0008283,regulation of mitotic nuclear division;RNA binding;DNA binding;ATP binding;cell cycle;nuclear body;membrane;regulation of chromosome segregation;protein C-terminus binding;nucleolus;regulation of chromatin organization;nucleus;nucleoplasm;chromosome;cell population proliferation,K17582,MKI67,http://www.genome.jp/dbget-bin/www_bget?ko:K17582,-,-,-,-,sp|P46013|KI67_HUMAN,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2
MOB1B,6896,5.53,5.36,5.1,2.18,4.64,2.35,0.799332464,0.000548743,0.000548743,*,MOB1B,XP_029800977.1;NP_001231696.1;XP_030169583.2;NP_001101827.1;XP_011530714.1;XP_030169583.2;XP_016864326.1,MOB kinase activator 1B isoform X1 [Suricata suricatta];MOB kinase activator 1B isoform 3 [Homo sapiens];MOB kinase activator 1B isoform X1 [Lynx canadensis];MOB kinase activator 1B [Rattus norvegicus];MOB kinase activator 1B isoform X2 [Homo sapiens];MOB kinase activator 1B isoform X1 [Lynx canadensis] &gt;XP_042792154.1 MOB kinase activator 1B isoform X1 [Panthera leo] &gt;XP_042792155.1 MOB kinase activator 1B isoform X1 [Panthera leo] &gt;XP_042840338.1 MOB kinase activator 1B isoform X1 [Panthera tigris] &gt;XP_042840339.1 MOB kinase activator 1B isoform X1 [Panthera tigris] &gt;XP_044912178.1 MOB kinase activator 1B isoform X1 [Felis catus] &gt;XP_046946689.1 MOB kinase activator 1B isoform X1 [Lynx rufus] &gt;XP_049486558.1 MOB kinase activator 1B isoform X1 [Panthera uncia] &gt;XP_053073240.1 MOB kinase activator 1B isoform X1 [Acinonyx jubatus] &gt;XP_058578313.1 MOB kinase activator 1B isoform X1 [Neofelis nebulosa] &gt;XP_060510891.1 MOB kinase activator 1B isoform X1 [Panthera onca];MOB kinase activator 1B isoform X1 [Homo sapiens],GO:0005730;GO:0005634;GO:0035329;GO:0005654;GO:0031952;GO:0019900;GO:0019209;GO:0046872;GO:0016301;GO:0070062;GO:0005737;GO:0005829,nucleolus;nucleus;hippo signaling;nucleoplasm;regulation of protein autophosphorylation;kinase binding;kinase activator activity;metal ion binding;kinase activity;extracellular exosome;cytoplasm;cytosol,K06685,"MOB1,Mats",http://www.genome.jp/dbget-bin/www_bget?ko:K06685,Hippo signaling pathway;Hippo signaling pathway - fly;Hippo signaling pathway - multiple species,"ko04390,ko04391,ko04392",KOG0440,Cell cycle-associated protein Mob1-1,sp|Q7L9L4|MOB1B_HUMAN,MOB kinase activator 1B OS=Homo sapiens OX=9606 GN=MOB1B PE=1 SV=3
MPHOSPH9,5552,5.68,5.46,5.6,2.32,5.22,2.5,0.674637644,0.011837673,0.011837673,*,MPHOSPH9,EAW98389.1;XP_011536042.1;XP_016874166.1;XP_016874163.1;NP_073619.3;XP_034790645.1;XP_016874168.1;XP_016874164.1;PNI57358.1;XP_016874165.1,"M-phase phosphoprotein 9, isoform CRA_b [Homo sapiens];M-phase phosphoprotein 9 isoform X2 [Homo sapiens];M-phase phosphoprotein 9 isoform X6 [Homo sapiens];M-phase phosphoprotein 9 isoform X3 [Homo sapiens];M-phase phosphoprotein 9 [Homo sapiens];M-phase phosphoprotein 9 isoform X5 [Pan paniscus];M-phase phosphoprotein 9 isoform X8 [Homo sapiens];M-phase phosphoprotein 9 isoform X4 [Homo sapiens];MPHOSPH9 isoform 11 [Pan troglodytes];M-phase phosphoprotein 9 isoform X5 [Homo sapiens]",GO:0000139;GO:0005794;GO:0016020;GO:0005814,Golgi membrane;Golgi apparatus;membrane;centriole,K16775,"MPHOSPH9,MPP9",http://www.genome.jp/dbget-bin/www_bget?ko:K16775,-,-,-,-,sp|Q99550|MPP9_HUMAN,M-phase phosphoprotein 9 OS=Homo sapiens OX=9606 GN=MPHOSPH9 PE=1 SV=4
MSH5,2753,0.82,0.74,0.48,0.19,0,0.27,2.112836617,0.024847059,0.024847059,Up,MSH5,NP_079535.4;NP_751897.1;AQY76940.1,mutS protein homolog 5 isoform a [Homo sapiens];mutS protein homolog 5 isoform b [Homo sapiens];MSH5 [Homo sapiens],GO:0032301;GO:0008094;GO:0000710;GO:0007131;GO:0005524;GO:0000228;GO:0006298;GO:0030983,"MutSalpha complex;ATP-dependent activity, acting on DNA;meiotic mismatch repair;reciprocal meiotic recombination;ATP binding;nuclear chromosome;mismatch repair;mismatched DNA binding",K08741,MSH5,http://www.genome.jp/dbget-bin/www_bget?ko:K08741,-,-,KOG0221;KOG0218,Mismatch repair ATPase MSH5 (MutS family);Mismatch repair MSH3,sp|O43196|MSH5_HUMAN,MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1
MSH5-4,2753,0.82,0.74,0.48,0.19,0,0.27,2.112836617,0.024847059,0.024847059,Up,MSH5,AQY76940.1;NP_079535.4;NP_751897.1,MSH5 [Homo sapiens];mutS protein homolog 5 isoform a [Homo sapiens];mutS protein homolog 5 isoform b [Homo sapiens],GO:0007131;GO:0005524;GO:0000710;GO:0006298;GO:0000228;GO:0032301;GO:0008094;GO:0030983,"reciprocal meiotic recombination;ATP binding;meiotic mismatch repair;mismatch repair;nuclear chromosome;MutSalpha complex;ATP-dependent activity, acting on DNA;mismatched DNA binding",K08741,MSH5,http://www.genome.jp/dbget-bin/www_bget?ko:K08741,-,-,KOG0221;KOG0218,Mismatch repair ATPase MSH5 (MutS family);Mismatch repair MSH3,sp|O43196|MSH5_HUMAN,MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1
MSH5-6,2753,0.82,0.74,0.48,0.19,0,0.27,2.112836617,0.024847059,0.024847059,Up,MSH5,NP_751897.1;NP_079535.4;AQY76940.1,mutS protein homolog 5 isoform b [Homo sapiens];mutS protein homolog 5 isoform a [Homo sapiens];MSH5 [Homo sapiens],GO:0030983;GO:0032301;GO:0008094;GO:0007131;GO:0005524;GO:0000710;GO:0006298;GO:0000228,"mismatched DNA binding;MutSalpha complex;ATP-dependent activity, acting on DNA;reciprocal meiotic recombination;ATP binding;meiotic mismatch repair;mismatch repair;nuclear chromosome",K08741,MSH5,http://www.genome.jp/dbget-bin/www_bget?ko:K08741,-,-,KOG0221;KOG0218,Mismatch repair ATPase MSH5 (MutS family);Mismatch repair MSH3,sp|O43196|MSH5_HUMAN,MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1
MTF2,4055,5.58,6.08,6.29,2.94,4.76,3.04,0.686183032,0.000297635,0.000297635,*,MTF2,XP_020945862.1;NP_001157864.1;NP_001126272.1,metal-response element-binding transcription factor 2 isoform X2 [Sus scrofa];metal-response element-binding transcription factor 2 isoform b [Homo sapiens];metal-response element-binding transcription factor 2 [Pongo abelii],GO:0048863;GO:0003682;GO:0005737;GO:0035064;GO:0000977;GO:0001226;GO:0046872;GO:0003677;GO:0061086;GO:0045944;GO:0000122;GO:0007379;GO:0005925;GO:0045814;GO:0005654;GO:0006325;GO:0035098;GO:0006355;GO:0005634;GO:0019827;GO:1990830;GO:0061087,"stem cell differentiation;chromatin binding;cytoplasm;methylated histone binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;transcription corepressor binding;metal ion binding;DNA binding;negative regulation of histone H3-K27 methylation;positive regulation of transcription by RNA polymerase II;negative regulation of transcription by RNA polymerase II;segment specification;focal adhesion;negative regulation of gene expression, epigenetic;nucleoplasm;chromatin organization;ESC/E(Z) complex;regulation of transcription, DNA-templated;nucleus;stem cell population maintenance;cellular response to leukemia inhibitory factor;positive regulation of histone H3-K27 methylation",K11485,"MTF2,PCL2",http://www.genome.jp/dbget-bin/www_bget?ko:K11485,-,-,KOG4323,Polycomb-like PHD Zn-finger protein,sp|Q9Y483|MTF2_HUMAN,Metal-response element-binding transcription factor 2 OS=Homo sapiens OX=9606 GN=MTF2 PE=1 SV=3
MTMR9,5654,1.86,1.84,1.84,0.84,1.66,1.21,0.630569699,0.010747959,0.010747959,*,MTMR9,XP_014199156.1;VCW97183.1;XP_011542132.1;NP_056273.2,"myotubularin-related protein 9 isoform X2 [Pan paniscus];unnamed protein product, partial [Gulo gulo];myotubularin-related protein 9 isoform X1 [Homo sapiens];myotubularin-related protein 9 [Homo sapiens]",GO:0006897;GO:0032587;GO:0030234;GO:0050821;GO:0046856;GO:0019903;GO:0010507;GO:0006661;GO:0004438;GO:0060304;GO:0032991;GO:0010922;GO:0005829;GO:0005783;GO:0048471;GO:0005737,endocytosis;ruffle membrane;enzyme regulator activity;protein stabilization;phosphatidylinositol dephosphorylation;protein phosphatase binding;negative regulation of autophagy;phosphatidylinositol biosynthetic process;phosphatidylinositol-3-phosphatase activity;regulation of phosphatidylinositol dephosphorylation;protein-containing complex;positive regulation of phosphatase activity;cytosol;endoplasmic reticulum;perinuclear region of cytoplasm;cytoplasm,K18084,MTMR9,http://www.genome.jp/dbget-bin/www_bget?ko:K18084,-,-,KOG1089,Myotubularin-related phosphatidylinositol 3-phosphate 3-phosphatase MTM6,sp|Q96QG7|MTMR9_HUMAN,Myotubularin-related protein 9 OS=Homo sapiens OX=9606 GN=MTMR9 PE=1 SV=1
MTX3,7904,3.62,3.57,3.57,1.72,3.3,1.43,0.691405428,0.008948559,0.008948559,*,MTX3,NP_001010891.4;CAD97995.1;NP_001350747.1,"metaxin-3 isoform 2 [Homo sapiens];hypothetical protein, partial [Homo sapiens];metaxin-3 isoform 3 [Homo sapiens]",GO:0007005;GO:0005737;GO:0140275;GO:0001401;GO:0007007;GO:0015031,mitochondrion organization;cytoplasm;MIB complex;SAM complex;inner mitochondrial membrane organization;protein transport,K17776,MTX,http://www.genome.jp/dbget-bin/www_bget?ko:K17776,-,-,-,-,sp|Q5HYI7|MTX3_HUMAN,Metaxin-3 OS=Homo sapiens OX=9606 GN=MTX3 PE=1 SV=2
MXI1,3317,4,3.79,3.56,1.93,2.83,2.28,0.594612603,0.002292801,0.002292801,*,MXI1,XP_050660244.1;XP_011783280.1;XP_036684682.1;NP_569157.2;BAG64876.1,max-interacting protein 1 isoform X4 [Macaca thibetana thibetana];PREDICTED: max-interacting protein 1 isoform X2 [Colobus angolensis palliatus];max-interacting protein 1 isoform X3 [Balaenoptera musculus];max-interacting protein 1 isoform b [Homo sapiens];unnamed protein product [Homo sapiens],GO:0000122;GO:0090575;GO:0000977;GO:0000978;GO:0000981;GO:0001227;GO:0005829;GO:0000785;GO:0005730;GO:0005634;GO:0046983;GO:0005654;GO:0006357,"negative regulation of transcription by RNA polymerase II;RNA polymerase II transcription regulator complex;RNA polymerase II transcription regulatory region sequence-specific DNA binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription repressor activity, RNA polymerase II-specific;cytosol;chromatin;nucleolus;nucleus;protein dimerization activity;nucleoplasm;regulation of transcription by RNA polymerase II",K09114,"MXD,MAD",http://www.genome.jp/dbget-bin/www_bget?ko:K09114,-,-,-,-,sp|P50539|MXI1_HUMAN,Max-interacting protein 1 OS=Homo sapiens OX=9606 GN=MXI1 PE=1 SV=2
MYCBP2,12666,4.47,4.62,4.8,2.11,3.78,2.23,0.712138296,0.000235645,0.000235645,*,MYCBP2,NP_055872.4;XP_030669378.1,E3 ubiquitin-protein ligase MYCBP2 [Homo sapiens];E3 ubiquitin-protein ligase MYCBP2 isoform X10 [Nomascus leucogenys],GO:0042802;GO:0016567;GO:0046872;GO:0015630;GO:0050905;GO:0021952;GO:0005085;GO:0032922;GO:0005737;GO:0016020;GO:0031267;GO:0043231;GO:0008270;GO:0061630;GO:0030424;GO:0005634;GO:0021785;GO:0005654;GO:0051493;GO:0042177;GO:1902667;GO:0032880;GO:0031398,identical protein binding;protein ubiquitination;metal ion binding;microtubule cytoskeleton;neuromuscular process;central nervous system projection neuron axonogenesis;guanyl-nucleotide exchange factor activity;circadian regulation of gene expression;cytoplasm;membrane;small GTPase binding;intracellular membrane-bounded organelle;zinc ion binding;ubiquitin protein ligase activity;axon;nucleus;branchiomotor neuron axon guidance;nucleoplasm;regulation of cytoskeleton organization;negative regulation of protein catabolic process;regulation of axon guidance;regulation of protein localization;positive regulation of protein ubiquitination,K10693,"MYCBP2,PAM",http://www.genome.jp/dbget-bin/www_bget?ko:K10693,Axon regeneration,ko04361,KOG2075,Topoisomerase TOP1-interacting protein BTBD1,sp|O75592|MYCB2_HUMAN,E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4
MYO10,9268,13.8,13.65,13.53,7.69,11.15,10.06,0.663565024,8.39E-23,8.39E-23,*,MYO10,XP_005248363.1;NP_036466.2;XP_006714538.1;VCX41338.1;PNJ48343.1,"unconventional myosin-X isoform X2 [Homo sapiens];unconventional myosin-X [Homo sapiens];unconventional myosin-X isoform X1 [Homo sapiens];unnamed protein product, partial [Gulo gulo];MYO10 isoform 11, partial [Pongo abelii]",GO:0005547;GO:0051489;GO:0005938;GO:0030027;GO:0030705;GO:0051015;GO:0001726;GO:0005516;GO:0007165;GO:0005524;GO:0060002;GO:0005829;GO:0005737;GO:0031527;GO:0005730;GO:0030898;GO:0016459;GO:0003774;GO:0003779;GO:0038096;GO:0032433;GO:0005886;GO:0030507;GO:0008360,"phosphatidylinositol-3,4,5-trisphosphate binding;regulation of filopodium assembly;cell cortex;lamellipodium;cytoskeleton-dependent intracellular transport;actin filament binding;ruffle;calmodulin binding;signal transduction;ATP binding;plus-end directed microfilament motor activity;cytosol;cytoplasm;filopodium membrane;nucleolus;microfilament motor activity;myosin complex;cytoskeletal motor activity;actin binding;Fc-gamma receptor signaling pathway involved in phagocytosis;filopodium tip;plasma membrane;spectrin binding;regulation of cell shape",K12559,MYO10,http://www.genome.jp/dbget-bin/www_bget?ko:K12559,Pathogenic Escherichia coli infection;Fc gamma R-mediated phagocytosis,"ko05130,ko04666",KOG4229,"Myosin VII, myosin IXB and related myosins",sp|Q9HD67|MYO10_HUMAN,Unconventional myosin-X OS=Homo sapiens OX=9606 GN=MYO10 PE=1 SV=3
