KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko03010,Ribosome,0.626446701,2.349982199,0,0,0,79/152,20.80%,RPS6;RPL24;RPS9-8;RPL10A;RPL34;RPL15;MRPL1;RPL12;RPL26;MRPL3;RPL17;RPL30;RPLP0;RPS8;RPS15;RPL6;MRPS9;RPS21;RPL7A-2;RPL7A;RPL36AL;RPL29;RPS18-2;RPS18-4;RPS18;RPS18-5;RPS18-3;RPS13;MRPS11;RPS2;RPS2-2;RPS26;RPS24;MRPS18C;RPS5;RPS14;RPL26L1;RPL10;MRPL20;RSL24D1;RPL18A;RPL35;RPS12;MRPS2;RPSA;MRPL24;RPL18;MRPL10;RPS27A;RPL14;RPL32;MRPL21;RPS9;RPL28;RPLP2;RPL36A;RPL4;RPS15A;RPL5;RPL23;MRPL27;RPS16;MRPS18A;RPL22L1;RPS7;RPS27;MRPS10;FAU;RPS4X;RPS10;RPS11;RPS25;RPL7;MRPL28;RPS25-2;RPL8;RPS3A;RPS3A-2;MRPL19
ko03008,Ribosome biogenesis in eukaryotes,0.598082543,2.096678113,0,0.000381531,0.001,41/85,20.89%,NHP2;UTP15;RAN;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;REXO5;EFL1;GTPBP4;EIF6;NOP58;CSNK2A2;LOC102724159;NXT2;XPO1;NOP10-2;NOP10;BMS1;RPP30;NOB1;MPHOSPH10;WDR3;GNL2;FBL;FBL-2;NOP56;CSNK2A1;NXT1;RPP25;GNL3;SBDS;NVL;RRP7A;UTP6;UTP14A;XRN2;GAR1;RIOK2;WDR43;EMG1
ko03030,DNA replication,0.689910348,2.077052931,0,0.000508708,0.002,24/37,18.46%,POLE3;PRIM1;MCM7;MCM4;FEN1;POLE;MCM2;RFC4;RFC1;RFC2;POLD1;RFC3;RFC5;MCM5;POLD3;PRIM2;POLA2;PCNA;RNASEH2B;MCM6;LIG1;POLA1;POLD2;SSBP1-2
ko04974,Protein digestion and absorption,-0.565011103,-2.000058498,0.002898551,0.525829999,0.201,22/65,10.78%,COL3A1-2;COL4A5;COL11A1;SLC36A1;COL8A2;COL18A1;COL5A2;COL4A1;COL1A2;COL5A1;COL24A1;COL8A1;COL6A3;ATP1B3;COL4A2;COL9A3;COL6A6;COL11A2;COL27A1;KCNE3;COL16A1;COL4A6
ko03430,Mismatch repair,0.685021429,1.894299552,0,0.005722967,0.03,21/25,26.45%,MSH6;POM121C;EXO1;MSH3;MLH1;RFC4;RFC1;RFC2;POLD1;RFC3;MSH2;RFC5;POLD3;PCNA;LIG1;POLD2;SSBP1-2;RPA3;RPA2;RPA1;SSBP1
ko00240,Pyrimidine metabolism,0.590701332,1.888217611,0,0.004883599,0.032,24/50,22.52%,PNP;PNP-2;ENPP1;NME1;RRM2;NT5E;TK2;RRM2B;NUDT2;RRM1;NT5C3A;CMPK1;DCK;DCTPP1;ENTPD1;NME7;DHODH;DTYMK;NT5C;CTPS2;CDA;TYMS;TK1;ENTPD6
ko00980,Metabolism of xenobiotics by cytochrome P450,-0.583060744,-1.885356312,0,0.44565537,0.303,10/36,9.82%,AKR1C1;EPHX1;GSTM2;GSTM3;ALDH3B1;HSD11B1L;ADH5;GSTM5;MGST1;LOC124904790
ko03410,Base excision repair,0.614413176,1.862649533,0,0.005214259,0.04,17/37,20.52%,POLE3;HMGB1;NEIL3;FEN1;POLE;POLD1;XRCC1;APEX2;POLD3;PARP1;PCNA;LIG1;MUTYH;PARP4;POLD2;POLL;NEIL2
ko04061,Viral protein interaction with cytokine and cytokine receptor,-0.559573124,-1.857114236,0.008426966,0.343811922,0.34,11/47,9.43%,CCL2;CSF1;TNFRSF1A;IL6R;ACKR3;CCL5-2;IL6;LTBR;IFNAR2-IL10RB;CXCR5;IL10RB
ko04110,Cell cycle,0.493793307,1.824850174,0,0.008720712,0.074,58/129,18.66%,BUB1;CDK6;CDC25A;CDC23;PLK1;CDKN2C;CCNB2;CDKN2D;CDC45;MAD2L1;MCM7;ORC6;MCM4;CCND1;BUB3;CDC27;MCM2;RBL1;CCNB1;BUB1B;CDK4;SMC3;CCNA2;DBF4;SMC1A;PTTG1;CDC20;STAG2;YWHAQ;ORC1;RAD21;MCM5;TTK;LOC124901482;CDK1;CDK2;ANAPC1;PKMYT1;PRKDC;TFDP2;YWHAB;YWHAH;YWHAZ;PCNA;ATR;TGFB1;MDM2;MCM6;TFDP1;CUL1;E2F1;ZNF718;FZR1;CDC6;CDC25C;SFN;ANAPC10;HDAC2
ko03060,Protein export,0.672867872,1.823423016,0.001703578,0.008012154,0.077,10月22日,17.20%,SEC61B;SRP14;HSPA5;SEC61A1;SEC61G;OXA1L;SEC63;SRP72;SRPRA;SRP54
ko04913,Ovarian steroidogenesis,-0.570202443,-1.791865497,0.011267606,0.343089628,0.409,9/34,9.77%,LDLR;IGF1R;ADCY9;AKR1C3;HSD17B2;HSD17B7;STAR;ADCY3;SCARB1
ko04630,JAK-STAT signaling pathway,-0.464807424,-1.776442058,0.006872852,0.294118098,0.434,48/115,17.12%,PIM1;STAT3;SOCS3;STAT2;PDGFRB;IRF9;STAT6;FHL1;CREBBP;STAT1;OSMR;IL6R;IRF9-2;PIK3CD;IL6;MYC;IL12RB2;PIAS4;MTOR;IL7R;IL15RA;STAT5B;IFNAR2-IL10RB;IFNAR2;STAT5A;LIF;IL17D;CCND3;IL12A;SOCS7;SOCS1;IL10RB;TSLP;PDGFA;STAT4;GRB2;JAK3;AKT3-2;IL15;EP300;RAF1;CCND2;IL9R;LIFR;IL27RA;IL27RA-2;IL19;IL9R-2
ko04216,Ferroptosis,-0.557520216,-1.739637975,0.018817204,0.295658992,0.498,8/35,8.76%,HMOX1;GCLM;FTH1;FTL;LPCAT3;SLC40A1;PCBP2;TP53
ko04060,Cytokine-cytokine receptor interaction,-0.423655926,-1.728088193,0.006622517,0.265804175,0.513,37/162,10.14%,CCL2;CSF1;BMP4;TNFRSF1A;GDF5;TNFRSF21;TGFB2;GDF6;OSMR;IL6R;ACKR3;IL16;TNFRSF11B;CCL5-2;IL6;LTBR;IL12RB2;CXCR6;ACVRL1;BMPR1B;BMP2;IL7R;IL15RA;CXCL16;IFNAR2-IL10RB;EBI3;CD4;IFNAR2;ACVR1;IL1R1;LIF;IL17D;IL12A;CXCR5;IL10RB;TSLP;ACVR1B
ko03013,Nucleocytoplasmic transport,0.470793967,1.710164202,0.001457726,0.031455125,0.293,55/115,24.50%,CSE1L;NUP153;RNPS1;RAN;XPOT;IPO4-2;NUP160;PNN;KPNA4;KPNA2;NUP107;NDC1;AHCTF1;NUP155;SEC13;IPO11;RAE1;NXT2;IPO5;XPO1;NUP188;TPR;NUP93;KPNA1;POM121;IPO4;RANBP2;SRRM1;AAAS-2;NUP62;NXT1;NUP50;NUP205;IPO7;NUP58;NUP54;NUP88;PYM1;UPF3B;RBM8A;PHAX;NUP133;UBE2I;KPNB1;IPO8;THOC1;SEH1L;SMURF1-2;KPNA5;ALYREF;UPF2;DDX19B;NUP210;SUMO3;EIF4A3
ko03018,RNA degradation,0.477772259,1.700267884,0.001488095,0.032124924,0.318,35/95,19.40%,BTG1;HSPA9;PABPC4;C1D;DIS3;EXOSC6;ENO2;PARN-2;EXOSC8;TOB1;ENO4;CNOT7;HSPD1;LSM5;CNOT2;PNPT1;CNOT3-4;DHX36;EXOSC5;LSM8;LSM2-6;LSM2-4;LSM2-2;LSM2;LSM2-5;LSM2-3;ZCCHC7;EDC3;CNOT1;SKIC3;EXOSC2;LSM7;XRN2;EXOSC9;DCP2
ko04977,Vitamin digestion and absorption,-0.618728818,-1.690060192,0.025641026,0.275916291,0.566,5月19日,11.26%,ABCC1;ABCC1-2;SLC19A1;SCARB1;BTD
ko00140,Steroid hormone biosynthesis,-0.548339604,-1.676938563,0.010899183,0.258420726,0.588,5/33,3.87%,AKR1C1;AKR1C3;HSD11B1L;HSD17B2;HSD17B7
ko04610,Complement and coagulation cascades,-0.483986238,-1.676627723,0.012269939,0.232578653,0.588,18/62,8.21%,MASP1-2;MASP1;C1R-2;C1R;C1S;F3;F10;CLU;C6;SERPING1;BDKRB2;F2RL2;CFB-2;CFB-3;CFB-7;CFB-5;CD55;PLGLB2
ko00100,Steroid biosynthesis,-0.605992449,-1.671163967,0.027700831,0.216688186,0.602,7月22日,9.85%,FDFT1-2;DHCR24;DHCR7;CYP2R1;HSD17B7;TM7SF2;LIPA
ko03460,Fanconi anemia pathway,0.503218283,1.649338828,0.006329114,0.054108056,0.493,34/60,25.94%,FANCI;BRIP1;FANCG;RAD51;POM121C;BRCA1;MLH1;TELO2;CENPX;FAAP100;SLX1B;CENPS-CORT;BOLA2;UBE2T;FANCB;ATRIP;FANCM;EME1;HES1;ATR;FANCL;USP1;BLM;ERCC4;ERCC1;RMI1;FANCD2;RPA3;RPA2;FANCC;POLN;RPA1;CENPS;FANCE
ko03040,Spliceosome,0.428994086,1.626276724,0,0.062571111,0.577,66/168,24.86%,SF3B2;WBP11;SLU7;HNRNPM;SF3B5;DDX42;BCAS2;XAB2;RBMX;SART1;RBM25;LSM5;CCDC12;SYF2;PPIL1;PPIH;EFTUD2;SRSF2;HNRNPA1;SNRNP27;SF3A3;PHF5A;DDX46;SNRPF;SNRPC;SNRPD2;HNRNPU;LSM8;LSM2-6;LSM2-4;LSM2-2;LSM2;LSM2-5;LSM2-3;U2SURP;SF3B4;ISY1;BUD31;TXNL4A;SNRPA;SNW1;HSPA1B-5;LSM7;HNRNPK;RBM8A;SRSF5;RBM22;CRNKL1;AQR;PRPF31;PRPF31-7;PRPF31-4;PRPF31-6;PRPF31-10;SRSF10;SF3B1;THOC1;LSM4;CWC15;PRPF38B;ALYREF;SRSF6;SF3A1;HSPA1L-2;EIF4A3;SRSF3
ko04380,Osteoclast differentiation,-0.428470311,-1.620451165,0.015576324,0.253164031,0.713,22/100,7.66%,CSF1;TNFRSF1A;SOCS3;STAT2;TGFB2;IRF9;MAP3K14;FOSL2;ITGB3;STAT1;IRF9-2;TNFRSF11B;MITF;PIK3CD;SQSTM1;FHL2;SQSTM1-2;TAB1;PPARG;MAPK14;IFNAR2;IL1R1
ko00604,Glycosphingolipid biosynthesis - ganglio series,-0.62255938,-1.618719876,0.039900249,0.235356707,0.718,13/18,29.09%,ST3GAL1;ST6GALNAC6;HEXA;ST6GALNAC4;ST6GALNAC5;GLB1;B4GALNT1;B3GALT4-4;B3GALT4;B3GALT4-2;B3GALT4-3;ST3GAL5;B3GALT4-5
ko03440,Homologous recombination,0.524960997,1.618394812,0.008064516,0.062981991,0.597,25/44,26.64%,BRIP1;RAD54L;RAD51;BRCA1;TOPBP1;NBN;POLD1;XRCC3;RAD51B;POLD3;BARD1;MRE11;EME1;RBBP8;POLD2;SSBP1-2;LOC124909487;BLM;RAD54B;RPA3;RPA2;BABAM2;RPA1;SSBP1;UIMC1
ko04214,Apoptosis - fly,0.510047294,1.607116683,0.007739938,0.065677865,0.638,25/48,27.12%,EIF5;DUSP10;LMNB1;TRAF6;DNM1L;BTF3;EGFR;ELF4;CYCS;RHOT1;PARP1;ATR;ELF2;EIF2AK3;HTRA2;MAPK8;LMNB2;AIFM1;ATF4;BRAF;LATS1;MFN2;PRDX2;XIAP;SAV1
ko04920,Adipocytokine signaling pathway,-0.463683237,-1.583787612,0.041297935,0.257033463,0.772,12/63,6.45%,SLC2A1;STAT3;TNFRSF1A;SOCS3;CPT1C;ADIPOR2;IRS1;IRS2;CPT1A;PRKAG2;MTOR;RXRA
ko04672,Intestinal immune network for IgA production,-0.508702035,-1.581198031,0.041055718,0.242979686,0.777,14/37,17.53%,MAP3K14;IL6;HLA-DMA-4;LTBR;IL15RA;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;HLA-DPB1-3;IL15;CCL28;TNFRSF13C;ICOSLG
ko04141,Protein processing in endoplasmic reticulum,0.410785415,1.581153747,0.001428571,0.080477641,0.725,64/181,17.77%,SEC61B;HSP90AA1;HSPA5;LMAN1;UBQLN4;SSR2;SEC61A1;HSP90AB1;HSPH1;EIF2AK2;DNAJB11;SEC61G;CAPN2;DDIT3;ATXN3;SEC13;DNAJC10;CANX;HSP90B1;RNF5;RNF5-4;RNF5-6;RNF5-2;RNF5-7;RNF5-5;STT3B;UGGT2;SELENOS;SSR3;TRAM1L1;EDEM1;SEC63;BAK1;DERL3-2;DERL3;BAG1;TRAF2;PPP1R15A;SEL1L;HERPUD1;NSFL1C;CALR;PDIA6;NGLY1;SEC23A;ATF6B-3;CANX-2;DAD1;SSR1;SEC31A;ERO1A;EIF2AK3;ERLEC1;UBE2G1;SEC24A;ATF6B-2;MBTPS2;CUL1;SIL1;SEC24D;ERN1;MAPK8;HSPA1B-5;YOD1
ko04115,p53 signaling pathway,0.46249673,1.565566682,0.012139605,0.08779986,0.785,25/70,14.27%,SERPINE1;CDK6;CD82;RRM2;CCNB2;SIVA1;CCND1;CASP3;RRM2B;CCNB1;CDK4;STEAP3;CCNG1;CYCS;SESN2;SESN2-2;BBC3;TP53I3;CDK1;CDK2;BCL2L1;ATR;PMAIP1;MDM2;GTSE1
ko04976,Bile secretion,-0.472626055,-1.517690132,0.040100251,0.305620629,0.883,8/41,7.45%,SLC2A1;EPHX1;LDLR;ABCC3;ADCY9;ATP1B3;RXRA;ADCY3
ko00030,Pentose phosphate pathway,-0.513673562,-1.511372256,0.065963061,0.295205788,0.892,7月27日,6.99%,PGD;PRPS1;G6PD;TKT;PGM1;TALDO1;ALDOC
ko00230,Purine metabolism,0.413561515,1.501538707,0.008955224,0.14659774,0.929,22/110,13.01%,PNP;PNP-2;ENPP1;NME1;RRM2;NT5E;ITPA;GMPS;ADK;PDE8A;RRM2B;PFAS;NUDT2;AK5;RRM1;DCK;PDE6D;ADA;ENTPD1;PPAT;NME7;ADSL
ko04612,Antigen processing and presentation,-0.389081349,-1.500362805,0.03257329,0.293171091,0.901,44/115,17.99%,HLA-E-3;HSPA2;HLA-C;HSPA1A-4;HLA-DMA-4;TAP2;HLA-A-7;CTSL;IFI30;HLA-E-7;HLA-E-6;HLA-E-2;NFYB;CD4;CTSB-2;TAPBP-3;HSPA1A-2;CTSB;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;HLA-F-4;HLA-F-5;HLA-DPB1-3;LGMN;HLA-C-3;HLA-E-4;HLA-B-2;HLA-B-4;HSPA1B-3;HLA-F-3;HLA-A-3;HSPA8;LOC124907854;HSPA1B-2;HSPA6;HLA-C-2;TAP1-6;TAP1-5;TAP1-3;TAP1-7;TAP1-2;TAP1
ko00340,Histidine metabolism,-0.563160057,-1.497539937,0.059850374,0.280934333,0.907,4月16日,4.68%,ALDH1B1;ALDH2;ALDH3B1;MAOA
ko00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,-0.547201912,-1.493756675,0.074792244,0.271365839,0.91,6月20日,8.22%,EXT1;EXT2;HS6ST1;NDST3;HS3ST3B1;NDST1
ko03420,Nucleotide excision repair,0.45938181,1.489570062,0.015748031,0.153502706,0.944,36/56,31.89%,POLE3;POLE;RFC4;RFC1;RFC2;POLD1;RFC3;MNAT1;CUL4B;RFC5;POLD3;BIVM-ERCC5;PCNA;LIG1;GTF2H2C-3;CETN2-2;CETN2;POLD2;ERCC4;ERCC1;DDB2;RBX1;RPA3;RPA2;RPA1;GTF2H3;XPC;ERCC2;POLE2;POLD4;GTF2H4-6;GTF2H4;GTF2H4-4;GTF2H4-2;DDB1;CCNH
ko00970,Aminoacyl-tRNA biosynthesis,0.449366555,1.480442119,0.023328149,0.157471969,0.95,25/54,19.84%,YARS1;EPRS1;VARS1-7;NARS1;GARS1;PSTK;MARS1;DARS2;TARS1;HARS1;LARS1;AARS1;TERF2IP;DARS1;FARSB;SEPSECS;IARS1;IARS1-2;FARS2;SARS2;SARS2-2;WARS2;RARS1;YARS2;CARS1
ko00982,Drug metabolism - cytochrome P450,-0.504392914,-1.479109639,0.070886076,0.27667298,0.925,7月28日,9.71%,GSTM2;GSTM3;ALDH3B1;ADH5;MAOA;GSTM5;MGST1
ko04066,HIF-1 signaling pathway,-0.391205068,-1.46690047,0.039039039,0.27952776,0.936,18/95,5.58%,HMOX1;SLC2A1;STAT3;IGF1R;ERBB2;TEK;CREBBP;HK1;VEGFA;IL6R;PLCG1;PIK3CD;PDHB;IL6;PFKFB3;LTBR;MTOR;HKDC1
ko00511,Other glycan degradation,-0.519624439,-1.466569805,0.083989501,0.267814037,0.936,10月23日,12.57%,MAN2B2;NEU1-8;NEU1-6;NEU1-2;GBA1;NEU3;HEXA;MAN2B1;GBA2;HEXD
ko00531,Glycosaminoglycan degradation,-0.532202856,-1.456456206,0.102756892,0.267910866,0.941,9月17日,19.63%,HGSNAT;SGSH;ARSB;IDUA;HEXA;GALNS;NAGLU;GLB1;HPSE
ko04080,Neuroactive ligand-receptor interaction,-0.358189441,-1.441027986,0.040268456,0.276956394,0.955,26/169,8.79%,HRH1;GPR156;ADM;P2RY6;P2RX4;P2RX7;DRD1;ADRA1B;S1PR3;BDKRB2;ADORA2B;F2RL2;NPY4R;GABBR1;EDNRB;OXTR;CALCRL;GRIK4;NPB;TACR1;CHRNA5;NPFF;PLGLB2;S1PR2;GRIK2;CHRNB1-2
ko00790,Folate biosynthesis,-0.531928633,-1.438627901,0.081218274,0.268915595,0.956,6月19日,9.51%,AKR1C3;AKR1B1;MOCOS;SPR;MOCS1;ALPL
ko00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,0.538401441,1.435616973,0.080906149,0.214611281,0.989,8月21日,13.04%,CHST11;XYLT1-2;XYLT1;CHSY3;B3GAT3;CHSY1;B4GALT7;CHPF
ko04668,TNF signaling pathway,-0.373090708,-1.418843557,0.055214724,0.283032224,0.97,16/110,4.55%,CCL2;CSF1;TNFRSF1A;SOCS3;ICAM1;JAG1;IRF1;MAP3K14;TRAF5;PIK3CD;CASP8;BCL3;CCL5-2;IL6;MLKL;CEBPB
ko04625,C-type lectin receptor signaling pathway,-0.383903754,-1.413743027,0.069069069,0.278960244,0.971,18/91,8.40%,STAT2;PYCARD;KSR1;IRF1;IRF9;MAP3K14;STAT1;CASP1;ITPR1;IRF9-2;PIK3CD;CASP8;BCL3;IL6;MRAS;MAPK14;IL17D;IL12A
ko04213,Longevity regulating pathway - multiple species,-0.401002603,-1.413183925,0.066860465,0.270237566,0.971,20/64,17.51%,IGF1R;ADCY9;IRS1;IRS2;HSPA2;HSPA1A-4;PIK3CD;PRKAG2;MTOR;ADCY3;HSPA1A-2;CRYAB;SOD2;HDAC1;AKT3-2;HSPA1B-3;HSPA8;HSPA1B-2;HSPA6;ADCY6
ko04114,Oocyte meiosis,0.38345641,1.410391674,0.033873343,0.248867329,0.994,35/123,14.96%,BUB1;AURKA;MAPK13;CDC23;PLK1;CCNB2;MAD2L1;SGO1;CDC27;CCNB1;SMC3;SMC1A;PTTG1;CDC20;YWHAQ;PPP2CA;CALM1;PPP2R5E;PPP1CA;SPDYE1;CPEB1;CDK1;CDK2;FBXO5;ANAPC1;PKMYT1;PRKACB;RPS6KA6;YWHAB;PPP2R5D;YWHAH;YWHAZ;PPP1CC;PRKACA;CAMK2B
ko04142,Lysosome,-0.357087823,-1.403628973,0.038062284,0.272256668,0.976,35/138,13.27%,CTSC;LITAF;HGSNAT;TPP1;GGA3;AP1M2;LAPTM4A;SGSH;DNASE2;SORT1;NPC1;NEU1-8;NEU1-6;NEU1-2;GBA1;IGF2R;PSAP;ARSB;CTSL;IDUA;HEXA;AP4M1;CTSB-2;CTSB;ATP6V0A4;LIPA;GALNS;MAN2B1;LGMN;ARSA;CTSV;SLC11A1;NAGA;GAA-2;ATP6AP1
ko00270,Cysteine and methionine metabolism,0.450367007,1.403018804,0.061708861,0.251359669,0.996,18/44,19.47%,DNMT1;BCAT1;GOT1;PSAT1;KYAT1-SPOUT1;AHCY;GSS;AMD1;MTAP;SMS;MTR;PHGDH;SRM;ENOPH1;LOC102724560;LDHB;MAT2B;DNMT3B
ko04914,Progesterone-mediated oocyte maturation,0.395998168,1.399797619,0.041411043,0.246137367,0.997,38/96,23.34%,BUB1;CDC25A;AURKA;MAPK13;HSP90AA1;CDC23;PLK1;HSP90AB1;CCNB2;MAD2L1;KIF22;CDC27;CCNB1;CCNA2;ARAF;GNAI3;SPDYE1;CPEB1;CDK1;CDK2;ANAPC1;PKMYT1;PRKACB;RPS6KA6;PRKACA;PIK3CB;MAPK8;FZR1;CDC25C;ANAPC10;RPS6KA3;BRAF;MAD2L2;SPDYE6;MAP2K1;PIK3R3;ANAPC7;AKT2
ko04512,ECM-receptor interaction,-0.378923206,-1.394791115,0.054545455,0.2748445,0.98,20/76,6.86%,COL4A5;THBS1;LAMB1;COL4A1;LAMA5;SDC4;ITGB3;GP1BA;LAMA4;COL1A2;DAG1;HSPG2;CD47;COL6A3;ITGA8;SV2A;COL4A2;ITGA11;COL9A3;COL6A6
ko03020,RNA polymerase,0.454076471,1.376385111,0.071428571,0.280775144,0.998,13/38,23.75%,POLR3B;POLR3G;POLR1D;POLR3K;POLR2G;POLR3A;POLR2J;POLR2B;POLR3F;POLR2A-2;POLR2A;POLR2K;POLR3C
ko04360,Axon guidance,0.361573361,1.371918427,0.019690577,0.277785212,0.998,46/173,17.68%,SEMA7A;SEMA7A-2;RAC2;SEMA5A;UNC5B;NRP1;SEMA3A;PLXNA2;ABLIM3;SEMA6D;SRGAP2C;SRGAP1;WNT5B;DCC;ITGB1;RASA1;NTNG2;PLXNA4;SEMA3C;MET;CFL2;NGEF;LRRC4;PAK1;GNAI3;NFATC2;NRAS;EPHB1;ROBO1;PRKCZ;SEMA6B;EPHB2;OST4;CAMK2B;RHOA;EFNA4;NFATC4-2;NFATC4;RGS3;MYL12A;PIK3CB;ROCK1;ROBO2;TRPC1;CFL1;EPHB6-2
ko04750,Inflammatory mediator regulation of TRP channels,-0.3722537,-1.354498033,0.073033708,0.320969376,0.99,12/79,10.52%,HRH1;ADCY9;PLCG1;ITPR1;PIK3CD;BDKRB2;MAPK14;ADCY3;IL1R1;PRKCQ;ASIC3;TRPV4
ko03015,mRNA surveillance pathway,0.386375623,1.351094798,0.049698795,0.308776108,0.999,35/94,24.90%,RNPS1;PPP2R3A;PABPC4;PNN;NUDT21;NXT2;PPP2CA;PPP2R3C;PPP2R5E;PPP1CA;CPSF3;SRRM1;SMG6;RNMT;PPP2R5D;NXT1;SMG1;PPP1CC;GSPT1;CPSF2;CSTF2;CPSF6;FIP1L1;PYM1;UPF3B;RBM8A;ETF1;HBS1L;PPP2R1A;ALYREF;UPF2;CSTF3;DDX19B;EIF4A3;PPP2R5C
ko04064,NF-kappa B signaling pathway,0.383667761,1.350656844,0.056661562,0.298046495,0.999,13/93,5.82%,PLAU;RIPK1;NFKBIA;BIRC2;TRAF6;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;ZNF518A;RELB;NFKB2;CSNK2A2
ko04935,"Growth hormone synthesis, secretion and action",-0.368130315,-1.348725246,0.080838323,0.319604131,0.991,27/104,13.01%,STAT3;SOCS3;IGFBP3;ADCY9;IRS1;IRS2;CREBBP;STAT1;PLCG1;ITPR1;PIK3CD;MTOR;SHC3;MAPK14;STAT5B;CRK;ADCY3;STAT5A;SOCS1;ATF6B;JUNB;CRKL;GRB2;CACNA1C;CREB3L1;AKT3-2;PRKCA
ko04392,Hippo signaling pathway - multiple species,-0.459120854,-1.344239356,0.121813031,0.317129534,0.994,10月27日,12.74%,TEAD3;AJUBA;LATS2;WTIP;NF2;TEAD4;WTIP-2;RASSF4;LIMD1;DCHS1
ko00250,"Alanine, aspartate and glutamate metabolism",0.467687863,1.333540956,0.116535433,0.325309824,0.999,13/31,25.91%,GOT1;GFPT1;ASNS;GFPT2;RIMKLB;ASPA;PPAT;ADSL;GLUD1;ASL;ASRGL1;NIT2;ADSS2
ko04978,Mineral absorption,0.420871938,1.324735716,0.087096774,0.334037114,1,13/46,12.81%,MT2A;MT1E;ATP2B1;MT1X;SLC9A3;STEAP1;ATP2B4;SLC30A1;ATP7A;TRPM7;ATOX1;STEAP1B;ATP1B1
ko00410,beta-Alanine metabolism,-0.458781246,-1.319553378,0.146596859,0.344059566,0.997,5月24日,2.61%,ALDH1B1;ALDH2;ALDH3B1;ALDH6A1;ABAT
ko04145,Phagosome,-0.32080868,-1.315885739,0.046931408,0.340320835,0.997,42/184,13.54%,HLA-E-3;C1R-2;C1R;THBS1;TUBA1A;ITGB3;ATP6V1B2;HLA-C;RAB5B;ACTG1-2;ACTG1;HLA-DMA-4;TAP2;HLA-A-7;ATP6V0E1;CTSL;HLA-E-7;HLA-E-6;HLA-E-2;ACTB;TUBB2A;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;ATP6V0A4;HLA-F-4;SCARB1;DYNC1H1;HLA-F-5;OLR1;HLA-DPB1-3;TUBB;ATP6V1C2;HLA-C-3;MRC2;HLA-E-4;HLA-B-2;HLA-B-4;ATP6AP1;HLA-F-3;HLA-A-3
